941hz,945hz,949hz,964hz,968hz,1093hz,1113hz,1132hz,1144hz,1148hz,1285hz,1363hz,1437hz,1500hz,1507hz,1519hz,1527hz,1535hz,weight
77328,120441,247712,104089,158405,89622,297520,74166,101830,72905,97360,121162,42799,71021,113111,119527,80868,52424,25.200001
53160,76230,105546,47190,11045,24802,47161,16798,9375,16677,10729,21124,4714,20748,16446,17674,18031,12821,25.200001
10335,40072,85258,26739,25597,11536,6827,6333,13654,9760,12758,11891,8267,13739,10109,10558,7841,6138,25.200001
1118154,681874,182422,327037,202688,174096,25709,95204,51902,91829,43372,53859,123589,108015,79469,78558,61235,47014,19.85
503610,307942,104557,158068,147511,45129,6335,33434,32119,20165,30057,32213,12539,65089,46582,39509,36922,25543,19.85
233545,172344,59044,296092,238981,16288,7102,12834,14454,7508,14672,13897,14518,25524,11888,14731,16186,13835,19.85
617040,342832,148617,517910,584626,158527,65994,173670,79066,168454,16801,33267,297163,34148,48246,56107,79207,76770,19.85
260967,118324,43099,330231,334719,48686,11312,61388,14129,78963,15847,17379,23894,19601,13433,21324,20431,10286,19.85
146768,105833,38894,150478,145615,11698,14317,19215,14932,14690,12784,11929,7477,9931,10332,8639,10050,9087,19.85
193207,69566,21771,377363,388842,232674,28992,57387,18895,59733,31958,24021,70577,35506,25710,9683,9898,11753,19.85
76874,49924,67536,256472,253967,61647,12423,25893,19800,28475,19110,17703,5689,39261,33963,19439,27253,23777,19.85
51062,67857,49137,218484,199438,13182,8602,13134,15118,4454,15035,15353,8413,4882,9704,13113,7630,11840,19.85
21533,30104,21736,128304,124801,8093,12929,8208,14332,10566,13208,12552,11763,11041,13315,11035,10846,12656,19.85
1994330,1772239,1229277,189260,144177,67800,464168,214867,52837,135947,56062,74298,183216,87654,70523,109966,143189,132516,19.1
803219,669622,373141,322474,95911,71114,277011,65362,4209,82310,12975,16064,14753,39763,44401,61346,131853,163257,19.1
1394506,1327994,943210,312393,161567,173892,809671,342144,25777,177367,1740,19687,75128,42492,25103,74007,107458,116752,19.1
