InstanceIndex,Output,Classification
1017,27.4,0
1018,27.8,0
1019,26.0,0
1020,27.4,1
1021,27.6,0
1022,26.2,0
1023,27.8,0
1024,21.5,0
1025,23.500099,1
1026,16.8,1
1027,21.5,0
1028,28.450001,1
1029,27.6,0
1030,28.0,0
1031,21.6,1
1032,27.8,0
1033,30.35,0
1034,27.8,0
1035,31.65,1
1036,27.8,0
1037,32.900002,0
1038,20.75,1
1039,26.0,0
1040,34.5,1
1041,25.2,1
1042,25.2,1
1043,20.2,1
1044,21.6,1
1045,28.0,0
1046,19.1,1
1047,26.2,0
1048,26.2,0
1049,18.9,1
1050,31.65,1
1051,19.5,1
1052,36.599998,0
1053,23.799999,1
1054,19.6,0
1055,27.8,0
1056,34.599998,0
1057,18.1,1
1058,29.500099,1
1059,29.5,1
1060,28.0,1
1061,27.6,0
1062,21.6,1
1063,23.6,1
1064,29.500099,1
1065,28.0,0
1066,28.299999,1
1067,33.400002,0
1068,27.6,0
1069,19.1,1
1070,27.8,0
1071,26.2,0
1072,27.8,0
1073,28.0,0
1074,23.799999,1
1075,29.5,0
1076,23.75,1
1077,27.8,0
1078,19.85,1
1079,27.8,0
1080,26.0,0
1081,22.75,1
1082,28.0,0
1083,20.8,1
1084,28.0,0
1085,28.0,0
1086,18.799999,1
1087,27.6,0
1088,25.2,0
1089,27.8,1
1090,29.9,0
1091,28.0,0
1092,18.9,1
1093,21.6,1
1094,18.1,1
1095,36.599998,1
1096,27.8,0
1097,33.400002,0
1098,26.0,0
1099,28.0,0
1100,27.8,0
1101,26.0,0
1102,27.8,0
1103,20.75,1
1104,28.0,0
1105,27.6,0
1106,26.2,0
1107,27.8,0
1108,18.8,1
1109,26.0,0
1110,26.0,0
1111,27.8,0
1112,19.1,1
1113,32.900002,1
1114,19.5,1
1115,26.2,0
1116,34.599998,0
1117,28.0,0
1118,27.8,0
1119,30.35,0
1120,22.0,1
1121,27.8,0
1122,28.0,0
1123,23.799999,1
1124,19.6,1
1125,26.2,0
1126,25.2,0
1127,18.799999,1
1128,26.0,0
1129,26.0,0
1130,26.0,0
1131,27.6,0
1132,28.0,0
1133,32.900002,1
1134,26.0,0
1135,21.6,1
1136,27.6,0
1137,27.8,0
1138,28.0,0
1139,20.2,1
1140,29.500099,1
1141,22.75,1
1142,27.8,0
1143,19.85,1
1144,20.8,1
1145,22.75,0
1146,22.0,1
1147,20.75,1
1148,26.0,0
1149,26.2,0
1150,27.8,0
1151,20.8,1
1152,28.0,0
1153,28.0,0
1154,25.2,1
1155,36.599998,0
1156,26.6,1
1157,19.85,1
1158,16.8,1
1159,31.4,1
1160,31.4,1
1161,28.299999,1
1162,16.8,1
1163,28.0,0
1164,28.0,0
1165,32.650002,0
1166,26.65,1
1167,26.0,0
1168,27.0,1
1169,32.900002,0
1170,29.5,1
1171,26.2,0
1172,19.1,1
1173,33.5,1
1174,26.2,0
1175,27.8,0
1176,28.0,0
1177,26.0,0
1178,25.8,1
1179,26.0,0
1180,26.0,0
1181,27.8,0
1182,26.6,0
1183,22.0,1
1184,27.8,0
1185,31.65,0
1186,27.6,0
1187,34.5,0
1188,23.5,1
1189,31.4,1
1190,28.0,0
1191,30.35,1
1192,26.0,0
1193,34.200001,1
1194,17.6,1
